iter	Passed	Remaining
1513	6638	37208
1514	6642	37202
1515	6646	37196
1516	6650	37191
1517	6654	37183
1518	6658	37177
1519	6662	37170
1520	6667	37166
1521	6671	37159
1522	6675	37153
1523	6679	37147
1524	6683	37141
1525	6687	37135
1526	6691	37130
1527	6695	37124
1528	6700	37121
1529	6704	37117
1530	6708	37110
1531	6713	37106
1532	6717	37103
1533	6721	37097
1534	6725	37091
1535	6730	37087
1536	6734	37080
1537	6737	37071
1538	6742	37065
1539	6746	37061
1540	6750	37053
1541	6754	37047
1542	6757	37038
1543	6761	37030
1544	6765	37023
1545	6769	37016
1546	6773	37008
1547	6776	37001
1548	6780	36993
1549	6784	36986
1550	6788	36979
1551	6792	36972
1552	6795	36964
1553	6800	36959
1554	6804	36952
1555	6808	36945
1556	6811	36937
1557	6815	36930
1558	6819	36924
1559	6823	36919
1560	6827	36910
1561	6831	36903
1562	6835	36897
1563	6839	36890
1564	6843	36883
1565	6846	36875
1566	6850	36869
1567	6854	36862
1568	6858	36854
1569	6862	36849
1570	6867	36845
1571	6871	36841
1572	6875	36835
1573	6880	36830
1574	6884	36824
1575	6888	36818
1576	6892	36812
1577	6896	36805
1578	6900	36799
1579	6904	36792
1580	6907	36783
1581	6911	36777
1582	6915	36768
1583	6919	36762
1584	6923	36756
1585	6927	36751
1586	6930	36742
1587	6934	36736
1588	6938	36729
1589	6942	36722
1590	6946	36716
1591	6950	36708
1592	6954	36701
1593	6958	36694
1594	6961	36686
1595	6966	36681
1596	6970	36675
1597	6974	36668
1598	6977	36661
1599	6981	36653
1600	6985	36646
1601	6990	36643
1602	6994	36636
1603	6997	36629
1604	7002	36626
1605	7006	36618
1606	7009	36611
1607	7013	36603
1608	7017	36597
1609	7021	36591
1610	7025	36585
1611	7029	36579
1612	7033	36570
1613	7037	36563
1614	7041	36558
1615	7045	36551
1616	7049	36544
1617	7053	36538
1618	7056	36531
1619	7060	36524
1620	7064	36516
1621	7068	36511
1622	7072	36505
1623	7076	36498
1624	7080	36492
1625	7084	36487
1626	7088	36481
1627	7093	36476
1628	7097	36469
1629	7101	36464
1630	7105	36457
1631	7109	36452
1632	7113	36445
1633	7116	36438
1634	7120	36432
1635	7124	36425
1636	7128	36418
1637	7132	36411
1638	7136	36406
1639	7140	36401
1640	7145	36397
1641	7149	36391
1642	7154	36388
1643	7157	36382
1644	7162	36376
1645	7166	36372
1646	7170	36366
1647	7174	36361
1648	7180	36362
1649	7185	36362
1650	7189	36358
1651	7193	36352
1652	7198	36349
1653	7202	36345
1654	7206	36337
1655	7210	36330
1656	7214	36325
1657	7218	36317
1658	7222	36311
1659	7226	36305
1660	7230	36302
1661	7235	36296
1662	7239	36293
1663	7243	36287
1664	7247	36279
1665	7251	36273
1666	7255	36270
1667	7259	36263
1668	7263	36255
1669	7267	36248
1670	7271	36242
1671	7275	36236
1672	7279	36230
1673	7283	36225
1674	7287	36220
1675	7292	36216
1676	7295	36208
1677	7299	36200
1678	7303	36195
1679	7307	36190
1680	7311	36183
1681	7316	36180
